,Title,Production company,Cast and crew,genres
14,Maze Runner: The Death Cure,20th Century Fox,"Wes Ball (director); T.S. Nowlin (screenplay); Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster, Ki Hong Lee, Giancarlo Esposito, Aidan Gillen, Walton Goggins, Barry Pepper, Will Poulter, Patricia Clarkson",Science Fiction Action Adventure Thriller
15,The Insult,Cohen Media Group,"Ziad Doueiri (director/screenplay); Joelle Touma (screenplay); Adel Karam, Camille Salameh, Kamel El Basha",Comedy Crime
16,Please Stand By,Magnolia Pictures,"Ben Lewin (director); Michael Golamco (screenplay); Dakota Fanning, Toni Collette, Alice Eve",Comedy Drama
17,Winchester,Lionsgate / CBS Films,"The Spierig Brothers (director/screenplay); Helen Mirren, Jason Clarke, Sarah Snook, Angus Sampson",Horror Thriller
18,A Fantastic Woman,Sony Pictures Classics,"Sebastián Lelio (director/screenplay); Gonzalo Maza (screenplay); Daniela Vega, Francisco Reyes",Drama
19,Armed,GVN Releasing,"Mario Van Peebles (director/screenplay); Mario Van Peebles, William Fichtner, Ryan Guzman, Columbus Short, Laz Alonso",Action Horror Thriller
20,The Cloverfield Paradox,Paramount Pictures / Netflix / Bad Robot Productions,"Julius Onah (director); Oren Uziel, Doug Jung (screenplay); Daniel Brühl, Elizabeth Debicki, Aksel Hennie, Gugu Mbatha-Raw, Chris O'Dowd, John Ortiz, David Oyelowo, Zhang Ziyi",Horror Science Fiction Action Thriller
21,Bad Apples,Uncork'd Entertainment,"Bryan Coyne (director/screenplay); Brea Grant, Graham Skipper, Aly Fitzgerald, Heather Vaughn, Richard Riehle",Horror
22,Peter Rabbit,Columbia Pictures / Sony Pictures Animation / Animal Logic,"Will Gluck (director/screenplay); Rob Lieber (screenplay); James Corden, Domhnall Gleeson, Rose Byrne, Daisy Ridley, Margot Robbie, Elizabeth Debicki, Sam Neill",Family Comedy Adventure Animation Fantasy
23,Fifty Shades Freed,Universal Pictures,"James Foley (director); Niall Leonard (screenplay); Dakota Johnson, Jamie Dornan, Kim Basinger, Eric Johnson, Rita Ora, Luke Grimes, Victor Rasuk, Jennifer Ehle, Marcia Gay Harden",Drama Romance
24,The 15:17 to Paris,Warner Bros. Pictures / Village Roadshow Pictures,"Clint Eastwood (director); Dorothy Blyskal (screenplay); Anthony Sadler, Alek Skarlatos, Spencer Stone, Judy Greer, Jenna Fischer, Ray Corasani",Thriller History Drama
25,La Boda de Valentina,Lionsgate / Pantelion Films,"Marco Polo Constandse (director); Omar Chaparro, Marimar Vega, Ryan Carnes",Comedy
26,Kri,Subas Entertainment Production / Super Kajal Films,"Surendra Poudel (director/screenplay); Anmol K.C., Aditi Budhathoki, Anoop Bikram Shahi",
27,Permission,Good Dead Entertainment,"Brian Crano (director/screenplay); Rebecca Hall, Dan Stevens, Morgan Spector, David Joseph Craig, Gina Gershon, Jason Sudeikis",Comedy Romance Drama
28,Monster Family,Viva Pictures,"Holger Tappe (director); David Safier, Catharine Junk (screenplay); Emily Watson, Jason Isaacs, Nick Frost, Jessica Brown Findlay, Celia Imrie, Catherine Tate",
29,Golden Exits,Vertical Entertainment,"Alex Ross Perry (director/screenplay); Emily Browning, Adam Horowitz, Mary-Louise Parker, Jason Schwartzman, Chloë Sevigny, Analeigh Tipton",Drama
30,Black Panther,Marvel Studios,"Ryan Coogler (director/​screenplay); Joe Robert Cole (screenplay); Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Angela Bassett, Forest Whitaker, Andy Serkis, John Kani, Florence Kasumba, Atandwa Kani, Sterling K. Brown, Isaach de Bankolé, Trevor Noah, Stan Lee, Sebastian Stan",Action Adventure Science Fiction
31,Early Man,Summit Entertainment / StudioCanal / Aardman Animations,"Nick Park (director); Mark Burton, John O'Farrell (screenplay); Eddie Redmayne, Tom Hiddleston, Maisie Williams, Timothy Spall",Family Comedy Animation Adventure
32,Loveless,Sony Pictures Classics,"Andrey Zvyagintsev (director); Oleg Negin, Andrey Zvyagintsev (screenplay); Maryana Spivak, Alexei Rozin, Matvey Novikov, Marina Vasilyeva, Andris Keišs",Drama
33,The Party,Roadside Attractions,"Sally Potter (director/screenplay); Timothy Spall, Kristin Scott Thomas, Patricia Clarkson, Emily Mortimer, Cillian Murphy, Bruno Ganz",Fantasy Comedy Drama
34,Nostalgia,Bleecker Street,"Mark Pellington (director/screenplay); Alex Ross Perry (screenplay); Jon Hamm, Nick Offerman, Amber Tamblyn, Patton Oswalt, Catherine Keener, Ellen Burstyn, Bruce Dern, John Ortiz, James LeGros",Drama
35,Black '47,Fastnet Films / Samsa Films / UMedia / Altitude Film,"Lance Daly (director); PJ Dillon, Pierce Ryan, Eugene O'Brien, & Lance Daly (screenplay); Hugo Weaving, Jim Broadbent, Stephen Rea, Freddie Fox, Moe Dunford, James Frecheville, Sarah Greene, Barry Keoghan",Drama Western
36,Samson,Pure Flix,"Bruce Macdonald (director); Timothy Ratajczak, Jason Baumgardner (screenplay); Taylor James, Jackson Rathbone, Billy Zane, Caitlin Leahy, Rutger Hauer, Lindsay Wagner",Action Drama Adventure
37,Game Night,Warner Bros. Pictures / New Line Cinema,"Jonathan Goldstein, John Francis Daley (directors); Mark Perez (screenplay); Jason Bateman, Rachel McAdams, Kyle Chandler, Billy Magnussen, Sharon Horgan, Lamorne Morris, Kylie Bunbury, Jesse Plemons, Michael C. Hall",Mystery Comedy Crime
38,Annihilation,Paramount Pictures / Netflix / Skydance Media / DNA Films,"Alex Garland (director/screenplay); Natalie Portman, Jennifer Jason Leigh, Gina Rodriguez, Tessa Thompson, Tuva Novotny, Oscar Isaac",Science Fiction Horror
39,Every Day,Orion Pictures,"Michael Sucsy (director); Jesse Andrews (screenplay); Angourie Rice, Maria Bello, Debby Ryan, Jacob Batalon, Justice Smith, Lucas Jade Zumann",Drama Fantasy Romance
40,The Cured,IFC Films,"David Freyne (director); Ellen Page, Sam Keeley, Tom Vaughan-Lawlor",Horror Drama Science Fiction
41,The Lodgers,Epic Pictures Group,"Brian O'Malley (director); David Turpin (screenplay); Charlotte Vega, Bill Milner, Eugene Simon, David Bradley, Deirdre O'Kane, Moe Dunford",Drama Horror Romance Thriller
42,Red Sparrow,20th Century Fox / TSG Entertainment / Chernin Entertainment,"Francis Lawrence (director); Justin Haythe (screenplay); Jennifer Lawrence, Joel Edgerton, Matthias Schoenaerts, Charlotte Rampling, Mary-Louise Parker, Jeremy Irons",Mystery Thriller
43,Death Wish,Metro-Goldwyn-Mayer,"Eli Roth (director); Joe Carnahan (screenplay); Bruce Willis, Vincent D'Onofrio, Dean Norris, Kimberly Elise, Mike Epps, Elisabeth Shue, Camila Morrone",Action Crime Drama Thriller
44,The Vanishing of Sidney Hall,A24,"Shawn Christensen (director/screenplay); Jason Dolan (screenplay); Logan Lerman, Elle Fanning, Michelle Monaghan, Nathan Lane, Kyle Chandler",Mystery Drama
45,Foxtrot,Sony Pictures Classics,"Samuel Maoz (director/screenplay); Lior Ashkenazi, Sarah Adler, Yonatan Shiray",Comedy Drama War
46,Pickings,Digital Magic Entertainment,"Usher Morgan (director/screenplay); Elyse Price, Joel Bernard, Katie Vincent, Joe Trombino",Thriller Action Crime Drama Mystery
47,A Wrinkle in Time,Walt Disney Pictures,"Ava DuVernay (director); Jennifer Lee (screenplay); Storm Reid, Oprah Winfrey, Reese Witherspoon, Mindy Kaling, Levi Miller, Deric McCabe, Chris Pine, Gugu Mbatha-Raw, Michael Peña, Zach Galifianakis",Adventure Science Fiction Family Fantasy
48,Gringo,Amazon Studios / STX Entertainment,"Nash Edgerton (director); Anthony Tambakis, Matthew Stone (screenplay); David Oyelowo, Charlize Theron, Joel Edgerton, Amanda Seyfried, Thandie Newton, Sharlto Copley",Adventure Drama Action Thriller
49,Thoroughbreds,Focus Features,"Cory Finley (director/screenplay); Olivia Cooke, Anya Taylor-Joy, Anton Yelchin, Paul Sparks, Francie Swift",Drama Thriller
50,The Death of Stalin,IFC Films,"Armando Iannucci (director/screenplay); Steve Buscemi, Simon Russell Beale, Paddy Considine, Rupert Friend, Jason Isaacs, Michael Palin, Andrea Riseborough, Jeffrey Tambor",Comedy Drama History
51,The Leisure Seeker,Sony Pictures Classics,"Paolo Virzì (director/screenplay); Francesca Archibugi, Francesco Piccolo, Stephen Amidon (screenplay); Donald Sutherland, Helen Mirren",Drama Romance Adventure
52,The Strangers: Prey at Night,Aviron Pictures / Rogue,"Johannes Roberts (director); Bryan Bertino, Ben Ketai (screenplay); Christina Hendricks, Martin Henderson, Bailee Madison, Lewis Pullman",Horror Thriller
53,The Hurricane Heist,Entertainment Studios,"Rob Cohen (director/screenplay); Toby Kebbell, Maggie Grace, Ryan Kwanten, Melissa Bolona, Ralph Ineson",Action Crime Thriller
54,Tomb Raider,Warner Bros. Pictures / GK Films / Metro-Goldwyn-Mayer,"Roar Uthaug (director); Geneva Robertson-Dworet (screenplay); Alicia Vikander, Dominic West, Walton Goggins, Daniel Wu, Kristin Scott Thomas, Derek Jacobi, Nick Frost, Hannah John-Kamen",Action Adventure Fantasy
55,"Love, Simon",20th Century Fox / Fox 2000 Pictures / TSG Entertainment,"Greg Berlanti (director); Isaac Aptaker, Elizabeth Berger (screenplay); Nick Robinson, Katherine Langford, Alexandra Shipp, Jorge Lendeborg Jr., Miles Heizer, Keiynan Lonsdale, Logan Miller, Jennifer Garner, Josh Duhamel, Tony Hale",Comedy Drama Romance
56,I Can Only Imagine,Roadside Attractions / Lionsgate,"Jon Erwin (director/screenplay); Andrew Erwin (co-director), Alex Cramer, Brent McCorkle (screenplay); Cloris Leachman, Dennis Quaid, Priscilla Shirer, Madeline Carroll, J. Michael Finley, Trace Adkins",Music Drama
57,7 Days in Entebbe,Focus Features / StudioCanal / Participant Media / Working Title Films,"José Padilha (director); Gregory Burke (screenplay); Rosamund Pike, Daniel Brühl, Vincent Cassel, Eddie Marsan, Ben Schnetzer",Thriller Drama Crime
58,Furlough,IFC Films,"Laurie Collyer (director); Barry Strugatz (screenplay); Melissa Leo, Tessa Thompson, La La Anthony, Whoopi Goldberg, Anna Paquin",Comedy
59,Josie,Screen Media Films,"Eric England (director), Anthony Ragnone II (screenplay); Sophie Turner, Dylan McDermott, Jack Kilmer",Comedy Music
60,Flower,The Orchard,"Max Winkler (director), Alex McAulay (screenplay); Zoey Deutch, Kathryn Hahn, Tim Heidecker, Joey Morgan, Adam Scott",Drama Comedy
61,Pacific Rim: Uprising,Universal Pictures / Legendary Pictures,"Steven S. DeKnight (director/screenplay); Emily Carmichael, Kira Snyder, T.S. Nowlin (screenplay); John Boyega, Scott Eastwood, Cailee Spaeny, Charlie Day, Burn Gorman, Rinko Kikuchi, Jing Tian, Adria Arjona, Zhang Jin",Action Fantasy Science Fiction Adventure
62,Isle of Dogs,Fox Searchlight Pictures / Indian Paintbrush,"Wes Anderson (director/screenplay); Bryan Cranston, Edward Norton, Bill Murray, Jeff Goldblum, Bob Balaban, Greta Gerwig, Frances McDormand, Courtney B. Vance, Fisher Stevens, Harvey Keitel, Liev Schreiber, Scarlett Johansson, Tilda Swinton, F. Murray Abraham, Frank Wood",Adventure Comedy Animation
63,Sherlock Gnomes,Paramount Pictures / Paramount Animation / Metro-Goldwyn-Mayer,"John Stevenson (director); Ben Zazove (screenplay); James McAvoy, Emily Blunt, Johnny Depp, Chiwetel Ejiofor, Mary J. Blige, Michael Caine, Maggie Smith, Ashley Jensen, Matt Lucas, Stephen Merchant, Julie Walters, Richard Wilson",Animation Family Fantasy Comedy Adventure Mystery
64,Unsane,Bleecker Street / Regency Enterprises,"Steven Soderbergh (director); Jonathan Bernstein, James Greer (screenplay); Claire Foy, Joshua Leonard, Jay Pharoah, Juno Temple, Aimee Mullins, Amy Irving",Horror Thriller
65,"Paul, Apostle of Christ",Affirm Films,"Andrew Hyatt (director/screenplay); James Faulkner, Jim Caviezel, Olivier Martinez, Joanne Whalley, John Lynch",Drama History
66,Final Portrait,Sony Pictures Classics,"Stanley Tucci (director/screenplay); Geoffrey Rush, Armie Hammer, Clémence Poésy, Tony Shalhoub, James Faulkner, Sylvie Testud",Drama History
67,Midnight Sun,Global Road Entertainment,"Scott Speer (director); Eric Kirsten (screenplay); Bella Thorne, Patrick Schwarzenegger, Rob Riggle, Quinn Shephard",Romance Drama
68,Followers,Synkronized Films,"Ryan Justice (director/screenplay); Ian Longen, Jason Henne (screenplay); Amanda Delaney, Justin Maina, Sean Michael Gloria, Nishant Gogna, David E. McMahon",Thriller
69,Ready Player One,Warner Bros. Pictures / Village Roadshow Pictures / Amblin Entertainment,"Steven Spielberg (director); Ernest Cline, Zak Penn (screenplay); Tye Sheridan, Olivia Cooke, Ben Mendelsohn, Lena Waithe, T.J. Miller, Simon Pegg, Mark Rylance, Win Morisaki, Philip Zhao, Hannah John-Kamen",Science Fiction Adventure Action
70,Tyler Perry's Acrimony,Lionsgate / Tyler Perry Films,"Tyler Perry (director/screenplay); Taraji P. Henson, Lyriq Bent, Tika Sumpter",Thriller
71,God's Not Dead: A Light in Darkness,Pure Flix,"Michael Mason (director/screenplay); David A. R. White, John Corbett, Shane Harper, Benjamin Onyango, Ted McGinley, Jennifer Taylor, Tatum O'Neal, Shwayze, Cissy Houston",Drama
72,Gemini,Neon,"Aaron Katz (director/screenplay); Lola Kirke, Zoë Kravitz, Greta Lee, Michelle Forbes, Nelson Franklin, Reeve Carney, Jessica Parker Kennedy, James Ransone, Ricki Lake, John Cho",Science Fiction Action Thriller
73,The Last Movie Star,A24,"Adam Rifkin (director/screenplay); Burt Reynolds, Ariel Winter, Clark Duke, Ellar Coltrane, Chevy Chase",Drama
74,A Quiet Place,Paramount Pictures / Platinum Dunes / Sunday Night Productions,"John Krasinski (director/screenplay); Scott Beck, Bryan Woods (screenplay); John Krasinski, Emily Blunt, Millicent Simmonds, Noah Jupe",Science Fiction Thriller Horror
75,Blockers,Universal Pictures / Good Universe / Point Grey Pictures,"Kay Cannon (director); Eben Russell, Jon Hurwitz, Hayden Schlossberg, Brian Kehoe, Jim Kehoe (screenplay); Leslie Mann, Ike Barinholtz, John Cena, Kathryn Newton, Graham Phillips, June Diane Raphael, Hannibal Buress, Sarayu Blue",Comedy
76,You Were Never Really Here,Amazon Studios,"Lynne Ramsay (director/screenplay); Joaquin Phoenix, Ekaterina Samsonov, Alex Manette, John Doman, Judith Roberts",Thriller Drama
77,Chappaquiddick,Entertainment Studios,"John Curran (director); Taylor Allen, Andrew Logan (screenplay); Jason Clarke, Kate Mara, Ed Helms, Bruce Dern, Jim Gaffigan, Taylor Nichols",History Drama Thriller
78,Pandas,Warner Bros. Pictures / IMAX,"Drew Fellman, David Douglas (directors); Drew Fellman (screenplay); Kristen Bell",Documentary
79,Lean on Pete,A24,"Andrew Haigh (director/screenplay); Charlie Plummer, Chloë Sevigny, Travis Fimmel, Steve Buscemi",Drama Adventure
80,The Miracle Season,LD Entertainment,"Sean McNamara (director); David Aaron Cohen, Elissa Matsueda (screenplay); Helen Hunt, William Hurt, Erin Moriarty, Danika Yarosh",Drama
81,Beirut,Bleecker Street,"Brad Anderson (director); Tony Gilroy (screenplay); Jon Hamm, Rosamund Pike, Dean Norris, Shea Whigham, Larry Pine, Mark Pellegrino",Action Thriller Drama
82,Rampage,Warner Bros. Pictures / New Line Cinema / Seven Bucks Productions,"Brad Peyton (director); Ryan Engle (screenplay); Dwayne Johnson, Naomie Harris, Malin Åkerman, Jake Lacy, Joe Manganiello, Jeffrey Dean Morgan",Action
83,Truth or Dare,Universal Pictures / Blumhouse Productions,"Jeff Wadlow (director/screenplay); Michael Reisz, Chris Roach, Jillian Jacobs (screenplay); Lucy Hale, Tyler Posey, Violett Beane, Nolan Gerard Funk, Hayden Szeto, Sophia Taylor Ali",Thriller Horror
84,The Rider,Sony Pictures Classics,Chloé Zhao (director/screenplay); Brady Jandreau,Western Drama
85,Sgt. Stubby: An American Hero,Fun Academy Motion Pictures / Mikros Image,"Richard Lanni (director/screenplay); Mike Stokey (screenplay); Logan Lerman, Helena Bonham Carter, Gérard Depardieu",Animation Adventure Family History War
86,I Feel Pretty,STX Entertainment,"Abby Kohn, Marc Silverstein (director/screenplay); Amy Schumer, Michelle Williams, Emily Ratajkowski, Rory Scovel, Gia Crovatin",Comedy Romance
87,Super Troopers 2,Fox Searchlight Pictures,"Jay Chandrasekhar (director); Broken Lizard (screenplay); Jay Chandrasekhar, Paul Soter, Steve Lemme, Erik Stolhanske, Kevin Heffernan",Comedy Crime Mystery
88,Traffik,Summit Entertainment / Codeblack Films,"Deon Taylor (director/screenplay); Paula Patton, Omar Epps, Missi Pyle, William Fichtner, Roselyn Sanchez, Dawn Olivieri, Laz Alonso",Horror Thriller
89,The House of Tomorrow,Shout! Studios,"Peter Livolsi (director/screenplay); Asa Butterfield, Nick Offerman, Ellen Burstyn, Alex Wolff, Maude Apatow",Drama Comedy
90,Liz and the Blue Bird,Kyoto Animation,"Naoko Yamada (director); Reiko Yoshida (screenplay); Atsumi Tanezaki, Nao Tōyama",Animation Drama Music
91,Avengers: Infinity War,Marvel Studios,"Anthony Russo and Joe Russo (directors); Christopher Markus and Stephen McFeely (screenplay); Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Benedict Cumberbatch, Don Cheadle, Tom Holland, Chadwick Boseman, Paul Bettany, Elizabeth Olsen, Anthony Mackie, Sebastian Stan, Danai Gurira, Letitia Wright, Dave Bautista, Zoe Saldana, Pom Klementieff, Karen Gillan, Benedict Wong, Idris Elba, Peter Dinklage, Tom Hiddleston, Vin Diesel, Bradley Cooper, Gwyneth Paltrow, Benicio del Toro, Josh Brolin, Chris Pratt",Adventure Action Science Fiction
92,Disobedience,Bleecker Street,"Sebastián Lelio (director/screenplay); Rebecca Lenkiewicz (screenplay); Rachel Weisz, Rachel McAdams, Alessandro Nivola",Drama Romance
93,Backstabbing for Beginners,A24,"Per Fly (director); Daniel Pyne, Per Fly (screenplay); Ben Kingsley, Theo James, Jacqueline Bisset",Thriller Drama History
94,Kings,The Orchard,"Deniz Gamze Ergüven (director/screenplay); Halle Berry, Daniel Craig",Adventure Drama Action
95,Overboard,Metro-Goldwyn-Mayer / Lionsgate / Pantelion Films,"Rob Greenberg, Bob Fisher (directors/screenplay); Anna Faris, Eugenio Derbez, Eva Longoria, John Hannah, Josh Segarra, Mel Rodriguez",Romance Comedy
96,Tully,Focus Features / Bron Studios,"Jason Reitman (director); Diablo Cody (screenplay); Charlize Theron, Mackenzie Davis, Mark Duplass, Ron Livingston",Drama Comedy
97,Bad Samaritan,Electric Entertainment,"Dean Devlin (director); Brandon Boyce (screenplay); David Tennant, Robert Sheehan, Carlito Olivero, Kerry Condon, Jacqueline Byers",Thriller Crime Horror
98,The Cleanse,Vertical Entertainment,"Bobby Miller (director/screenplay); Johnny Galecki, Anna Friel, Oliver Platt, Anjelica Huston",Drama Comedy Fantasy
99,The Guardians,Music Box Films,Xavier Beauvois (director/screenplay); Nathalie Baye,Family Animation Fantasy Action Adventure
100,Life of the Party,Warner Bros. Pictures / New Line Cinema,"Ben Falcone (director/screenplay); Melissa McCarthy (screenplay); Melissa McCarthy, Maya Rudolph, Molly Gordon, Julie Bowen, Gillian Jacobs, Debby Ryan, Matt Walsh, Jacki Weaver",Comedy
101,Breaking In,Universal Pictures,"James McTeigue (director); Ryan Engle (screenplay); Gabrielle Union, Billy Burke, Richard Cabral, Seth Carr, Levi Meaden, Ajiona Alexus, Christa Miller",Thriller Crime Action Horror
102,The Seagull,Sony Pictures Classics,"Michael Mayer (director); Stephen Karam (screenplay); Saoirse Ronan, Annette Bening, Corey Stoll, Billy Howle",Drama Romance Comedy
103,Terminal,RLJE Films,"Vaughn Stein (director/screenplay); Margot Robbie, Simon Pegg, Dexter Fletcher, Max Irons, Mike Myers",Crime Drama Thriller
104,Revenge,Neon,"Coralie Fargeat (director/screenplay); Matilda Lutz, Kevin Janssens, Vincent Colombe, Guillaume Bouchède",Action Thriller Horror
105,Deadpool 2,20th Century Fox / Marvel Entertainment / TSG Entertainment,"David Leitch (director); Rhett Reese, Paul Wernick, Ryan Reynolds (screenplay); Ryan Reynolds, Josh Brolin, Zazie Beetz, Julian Dennison, Morena Baccarin, T. J. Miller, Brianna Hildebrand, Stefan Kapičić, Jack Kesy",Action Comedy Adventure
106,Book Club,Paramount Pictures,"Bill Holderman (director/screenplay); Erin Simms (screenplay); Jane Fonda, Candice Bergen, Mary Steenburgen, Diane Keaton",Comedy Romance Drama
107,First Reformed,A24,"Paul Schrader (director/screenplay); Ethan Hawke, Amanda Seyfried, Cedric Kyles",Drama
108,Pope Francis: A Man of His Word,Focus Features,Wim Wenders (director); Pope Francis,Documentary
109,Show Dogs,Global Road Entertainment,"Raja Gosnell (director); Max Botkin (screenplay); Will Arnett, Natasha Lyonne, Ludacris, Stanley Tucci, Shaquille O'Neal, Gabriel Iglesias, Alan Cumming, Oliver Tompsett, Andy Beckwith",Adventure Crime Family Comedy
110,Solo: A Star Wars Story,Lucasfilm,"Ron Howard (director); Lawrence Kasdan, Jon Kasdan (screenplay); Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover, Thandie Newton, Phoebe Waller-Bridge, Joonas Suotamo, Paul Bettany",Science Fiction Adventure Action Crime
111,How to Talk to Girls at Parties,A24,"John Cameron Mitchell (director); Philippa Goslett, John Cameron Mitchell (screenplay); Elle Fanning, Alex Sharp, Nicole Kidman, Ruth Wilson, Matt Lucas",Comedy Music Romance Science Fiction
112,In Darkness,Vertical Entertainment,"Anthony Byrne (director); Anthony Byrne, Natalie Dormer (screenplay); Natalie Dormer, Emily Ratajkowski, Ed Skrein, Joely Richardson, Neil Maskell, James Cosmo, Jan Bijvoet",Thriller Mystery
113,The Misandrists,Cartilage Films,"Bruce LaBruce (director); Bruce LaBruce (screenplay); Susanne Sachße, Viva Ruiz, Kembra Pfahler, Caprice Crawford, Grete Gehrke",Drama
114,Future World,Lionsgate Premiere,"James Franco, Bruce Thierry Cheung (director); Bruce Thierry Cheung, Jeremy Cheung, Jay Davis (screenplay); James Franco, Suki Waterhouse, Jeffrey Wahlberg, Margarita Levieva, Snoop Dogg, George Lewis Jr., Method Man, Lucy Liu, Milla Jovovich",Science Fiction
115,Action Point,Paramount Pictures,"Tim Kirkby (director); Johnny Knoxville (screenplay); Johnny Knoxville, Chris Pontius",Comedy Drama
116,Adrift,STX Entertainment,"Baltasar Kormákur (director); Aaron Kandell, Jordan Kandell, David Branson Smith (screenplay); Shailene Woodley, Sam Claflin",Thriller Romance Adventure
117,Upgrade,BH Tilt,"Leigh Whannell (director/screenplay); Logan Marshall-Green, Betty Gabriel, Harrison Gilbertson, Melanie Vallejo, Benedict Hardie, Linda Cropper, Simon Maiden",Action Thriller Science Fiction
118,American Animals,The Orchard / MoviePass Ventures,"Bart Layton (director/screenplay); Evan Peters, Barry Keoghan, Blake Jenner, Jared Abrahamson, Udo Kier, Ann Dowd",Drama Crime Documentary
119,Social Animals,Vertical Entertainment,"Theresa Bennett (director/screenplay); Noël Wells, Josh Radnor, Aya Cash, Carly Chaikin, Fortune Feimster, Samira Wiley",Comedy Romance
120,Ocean's 8,Warner Bros. Pictures / Village Roadshow Pictures,"Gary Ross (director/screenplay); Olivia Milch (screenplay); Sandra Bullock, Cate Blanchett, Anne Hathaway, Mindy Kaling, Sarah Paulson, Awkwafina, Rihanna, Helena Bonham Carter",Crime Comedy Action
121,Won't You Be My Neighbor?,Focus Features,Morgan Neville (director); Fred Rogers,Documentary
122,Hereditary,A24,"Ari Aster (director/screenplay); Toni Collette, Alex Wolff, Milly Shapiro, Ann Dowd, Gabriel Byrne",Horror Mystery Thriller
123,Hotel Artemis,Global Road Entertainment,"Drew Pearce (director/screenplay); Jodie Foster, Sterling K. Brown, Sofia Boutella, Jeff Goldblum, Dave Bautista, Brian Tyree Henry, Jenny Slate, Zachary Quinto, Charlie Day",Thriller Science Fiction Action
124,Superfly,Columbia Pictures,"Director X (director); Alex Tse (screenplay); Trevor Jackson, Jason Mitchell, Michael K. Williams, Esai Morales",Action Crime
125,Incredibles 2,Walt Disney Pictures / Pixar Animation Studios,"Brad Bird (director/screenplay); Craig T. Nelson, Holly Hunter, Sarah Vowell, Huckleberry Milner, Samuel L. Jackson, Bob Odenkirk, Catherine Keener, Jonathan Banks",Action Adventure Animation Family
